Wall time,Step,Value
1540781827,7249,1.792775631
1540781828,7302,1.905230403
1540781828,7313,1.919959426
1540781829,7331,1.736069798
1540781829,7341,1.796195149
1540781829,7342,1.781049728
1540781829,7361,1.75502646
1540781830,7384,1.800212383
1540781830,7403,1.876181483
1540781831,7442,1.829038978
1540781831,7445,1.920473933
1540781831,7452,1.941831112
1540781832,7462,1.787560821
1540781832,7465,1.809805512
1540781832,7470,1.920671463
1540781832,7480,1.861982226
1540781833,7513,1.958128691
1540781833,7532,1.867579103
1540781834,7611,1.885347843
1540781835,7646,1.870939136
1540781835,7663,1.885523319
1540781835,7678,1.940363526
1540781835,7689,1.897233009
1540781836,7695,1.980169535
1540781836,7720,1.86515677
1540781836,7725,1.742122173
1540781836,7730,1.841478348
1540781836,7748,1.931101561
1540781837,7759,1.732071638
1540781837,7762,1.818095088
1540781837,7782,1.901063919
1540781837,7790,1.823357701
1540781837,7800,1.794241428
1540781838,7835,2.004470825
1540781838,7840,1.887480378
1540781839,7901,1.967238784
1540781839,7902,1.947291374
1540781839,7934,1.893489599
1540781840,7985,1.75300765
1540781840,7993,1.895634413
1540781841,8028,1.912304163
1540781841,8039,1.935916424
1540781842,8051,2.020303249
1540781842,8068,1.876399875
1540781843,8128,1.809245586
1540781844,8152,1.798558831
1540781844,8182,1.692150116
1540781844,8186,1.739601851
1540781845,8200,1.765536308
1540781845,8217,1.957963705
1540781845,8223,1.939017892
1540781846,8265,1.837501764
1540781846,8281,2.011092663
1540781846,8292,2.080440998
1540781846,8301,1.817517877
1540781847,8309,1.781421304
1540781847,8329,1.766666174
1540781847,8334,1.845070124
1540781847,8336,1.895101666
1540781847,8342,1.921019793
1540781847,8362,1.821866035
1540781848,8365,1.834213614
1540781848,8370,1.765650511
1540781848,8379,1.813755393
1540781850,8469,1.898899317
1540781850,8470,1.819381475
1540781850,8472,1.8764745
1540781851,8500,2.193257332
1540781851,8505,1.945600867
1540781851,8510,1.901948094
1540781851,8525,1.898498178
1540781853,8568,1.916330814
1540781853,8575,1.72374928
1540781853,8594,1.812339783
1540781853,8603,1.862113357
1540781854,8636,1.949426055
1540781854,8637,1.940352082
1540781854,8646,1.954508901
1540781855,8684,1.856511593
1540781855,8692,1.863927603
1540781856,8697,1.929605961
1540781856,8729,1.880143285
1540781857,8776,1.786834478
1540781858,8780,1.909244895
1540781858,8803,1.845701694
1540781859,8821,1.826693296
1540781859,8824,1.865150213
1540781859,8845,1.791658163
1540781859,8856,1.823268414
1540781860,8880,1.851029396
1540781860,8887,1.991536736
1540781860,8904,1.908987164
1540781860,8906,1.932904124
1540781860,8909,1.906817794
1540781861,8930,1.992133856
1540781861,8932,1.958098412
1540781861,8937,1.862069964
1540781861,8948,1.837294817
1540781861,8960,1.823505282
1540781862,8977,1.841947794
1540781862,8995,1.831938982
1540781862,9001,2.002313614
1540781863,9011,1.849975824
1540781863,9030,1.632644296
1540781864,9057,1.705721378
1540781864,9065,1.7482934
1540781864,9086,1.894823074
1540781865,9107,1.798025966
1540781866,9157,1.783273101
1540781866,9164,1.778713346
1540781867,9218,1.841436148
1540781867,9228,1.784655809
1540781867,9235,1.767307401
1540781868,9262,1.7491678
1540781868,9283,1.944437623
1540781869,9293,2.003291845
1540781869,9309,2.002694845
1540781870,9318,1.852862
1540781870,9350,1.803432107
1540781871,9371,1.848334908
1540781872,9414,1.834259272
1540781872,9417,1.751693487
1540781872,9437,1.89434576
1540781873,9444,1.959732175
1540781873,9470,1.845036387
1540781874,9540,1.760829449
1540781875,9549,1.926308155
1540781875,9556,1.815165758
1540781875,9569,1.89655602
1540781876,9591,1.967036963
1540781876,9602,2.002973318
1540781876,9613,1.944961309
1540781877,9629,1.848307967
1540781877,9653,1.8114748
1540781877,9659,1.861965656
1540781877,9682,1.795826912
1540781878,9700,1.923397541
1540781879,9761,1.833577037
1540781879,9770,1.922985673
1540781880,9814,1.705233097
1540781881,9842,1.794154882
1540781881,9845,1.81065762
1540781881,9885,1.792960167
1540781882,9909,1.937040687
1540781883,9974,1.680065751
1540781885,10052,1.750483632
1540781885,10057,1.721657515
1540781885,10060,1.839908719
1540781886,10074,1.843405485
1540781886,10086,1.869921565
1540781886,10109,1.853121042
1540781887,10115,1.722431302
1540781887,10130,1.820726633
1540781887,10136,1.773149133
1540781887,10146,1.806015015
1540781887,10170,1.912138462
1540781888,10187,1.951101303
1540781888,10209,1.830224514
1540781889,10247,1.825536013
1540781889,10258,2.017647982
1540781890,10278,1.833150983
1540781890,10285,1.873802304
1540781890,10290,1.922821045
1540781892,10368,1.768083215
1540781893,10398,1.836442351
1540781893,10401,1.949539781
1540781893,10416,1.918068051
1540781893,10422,1.821976542
1540781894,10427,1.87879324
1540781894,10456,1.87608695
1540781894,10470,1.914039254
1540781894,10481,1.934796095
1540781895,10491,1.892793298
1540781895,10495,1.920178056
1540781895,10496,1.939788342
1540781895,10524,1.928601265
1540781895,10533,1.815557361
1540781895,10556,1.83789444
1540781896,10557,1.773450851
1540781896,10569,1.899825811
1540781896,10600,1.751584768
1540781896,10609,1.729524612
1540781897,10626,2.004419565
1540781897,10631,1.872370124
1540781897,10640,1.729052782
1540781897,10648,1.793847561
1540781897,10656,1.708635926
1540781897,10673,1.789966106
1540781898,10703,2.014306068
1540781898,10713,1.875852942
1540781899,10750,1.844648004
1540781899,10759,1.73349607
1540781899,10760,1.751358509
1540781899,10782,1.910440803
1540781899,10789,1.876109958
1540781900,10817,1.911670327
1540781900,10827,1.806658387
